日時,"内部CO2[ppm]","内部日射[kW m-2]","内部気温[C]","内部相対湿度[%]"
"2026/02/02 10:30:00",505,0.045,26.6,50
"2026/02/02 10:35:00",504,0.047,26.8,49
"2026/02/02 10:40:00",498,0.05,27,50
"2026/02/02 10:45:00",501,0.064,27.2,51
"2026/02/02 10:50:00",496,0.076,27.2,49
"2026/02/02 10:55:00",499,0.062,27.4,49
"2026/02/02 11:00:00",500,0.059,27.2,40
"2026/02/02 11:05:00",482,0.053,27.1,48
"2026/02/02 11:10:00",486,0.051,27.4,47
"2026/02/02 11:15:00",478,0.053,27,44
"2026/02/02 11:20:00",481,0.057,27.4,47
"2026/02/02 11:25:00",490,0.057,27.4,40
"2026/02/02 11:30:00",484,0.057,27.3,43
"2026/02/02 11:35:00",473,0.059,27.7,46
"2026/02/02 11:40:00",472,0.06,27.3,41
"2026/02/02 11:45:00",479,0.06,27.8,45
"2026/02/02 11:50:00",470,0.078,27.6,41
"2026/02/02 11:55:00",479,0.062,27.7,44
"2026/02/02 12:00:00",484,0.063,27.8,40
"2026/02/02 12:05:00",476,0.077,27.4,39
"2026/02/02 12:10:00",464,0.052,27.7,43
"2026/02/02 12:15:00",473,0.05,27.9,39
"2026/02/02 12:20:00",464,0.049,27.6,36
"2026/02/02 12:25:00",468,0.048,26.9,35
"2026/02/02 12:30:00",462,0.046,26,34
"2026/02/02 12:35:00",466,0.046,25.5,35
"2026/02/02 12:40:00",466,0.041,25.6,35
"2026/02/02 12:45:00",466,0.049,25.6,37
"2026/02/02 12:50:00",471,0.042,26,40
"2026/02/02 12:55:00",477,0.048,26.6,44
"2026/02/02 13:00:00",483,0.048,25.7,34
"2026/02/02 13:05:00",466,0.047,26.1,37
"2026/02/02 13:10:00",468,0.043,26,34
"2026/02/02 13:15:00",462,0.028,25.6,35
"2026/02/02 13:20:00",473,0.047,25.1,40
"2026/02/02 13:25:00",479,0.044,25.9,47
"2026/02/02 13:30:00",482,0.048,26.7,48
"2026/02/02 13:35:00",481,0.047,27.1,40
"2026/02/02 13:40:00",473,0.035,26,36
"2026/02/02 13:45:00",471,0.055,26,41
"2026/02/02 13:50:00",483,0.032,25.5,37
"2026/02/02 13:55:00",475,0.04,24.7,42
"2026/02/02 14:00:00",488,0.035,24.9,47
"2026/02/02 14:05:00",492,0.033,25,52
"2026/02/02 14:10:00",512,0.036,24.5,54
"2026/02/02 14:15:00",522,0.054,25,57
"2026/02/02 14:20:00",537,0.056,26,61
"2026/02/02 14:25:00",526,0.061,26.2,46
"2026/02/02 14:30:00",503,0.061,26,41
"2026/02/02 14:35:00",495,0.056,26.1,38
"2026/02/02 14:40:00",493,0.06,26.2,36
"2026/02/02 14:45:00",490,0.111,26.2,37
"2026/02/02 14:50:00",487,0.079,26.6,41
"2026/02/02 14:55:00",507,0.086,26.8,44
"2026/02/02 15:00:00",468,0.029,26.5,45
"2026/02/02 15:05:00",515,0.025,25.4,47
"2026/02/02 15:10:00",531,0.023,24.1,52
"2026/02/02 15:15:00",547,0.062,23.8,55
"2026/02/02 15:20:00",572,0.057,24.2,57
"2026/02/02 15:25:00",585,0.047,24.8,58
"2026/02/02 15:30:00",599,0.036,25.1,58
"2026/02/02 15:35:00",592,0.037,25,53
"2026/02/02 15:40:00",585,0.036,24.8,52
"2026/02/02 15:45:00",585,0.03,24.6,54
"2026/02/02 15:50:00",597,0.018,24.3,57
"2026/02/02 15:55:00",618,0.013,23.6,59
"2026/02/02 16:00:00",639,0.011,22.6,62
"2026/02/02 16:05:00",671,0.009,21.8,65
"2026/02/02 16:10:00",689,0.008,21.1,67
"2026/02/02 16:15:00",705,0.006,20.5,68
"2026/02/02 16:20:00",734,0.005,19.9,70
"2026/02/02 16:25:00",765,0.004,19.4,72
"2026/02/02 16:30:00",790,0.003,18.8,73
"2026/02/02 16:35:00",814,0.003,18.4,74
"2026/02/02 16:40:00",849,0.002,18.1,75
"2026/02/02 16:45:00",865,0.002,17.7,75
"2026/02/02 16:50:00",893,0.001,17.5,76
"2026/02/02 16:55:00",912,0.001,17.1,77
"2026/02/02 17:00:00",913,0.001,16.7,77
"2026/02/02 17:05:00",924,0.001,16.4,77
"2026/02/02 17:10:00",931,0,16.1,78
"2026/02/02 17:15:00",927,0,15.9,78
"2026/02/02 17:20:00",920,0,15.6,79
"2026/02/02 17:25:00",898,0,15.3,79
"2026/02/02 17:30:00",899,0,15.2,79
"2026/02/02 17:35:00",891,0,14.9,79
"2026/02/02 17:40:00",889,0,14.8,80
"2026/02/02 17:45:00",880,0,14.5,80
"2026/02/02 17:50:00",879,0,14.3,80
"2026/02/02 17:55:00",863,0,14.3,81
"2026/02/02 18:00:00",872,0,14.2,81
"2026/02/02 18:05:00",856,0,14.1,81
"2026/02/02 18:10:00",760,0,13.4,79
"2026/02/02 18:15:00",701,0,13.6,77
"2026/02/02 18:20:00",642,0,13.5,76
"2026/02/02 18:25:00",644,0,13.7,76
"2026/02/02 18:30:00",616,0,13.7,77
"2026/02/02 18:35:00",616,0,13.8,77
"2026/02/02 18:40:00",601,0,13.9,77
"2026/02/02 18:45:00",594,0,13.9,78
"2026/02/02 18:50:00",595,0,13.9,78
"2026/02/02 18:55:00",592,0,13.9,78
"2026/02/02 19:00:00",586,0,13.8,78
"2026/02/02 19:05:00",595,0,13.7,78
"2026/02/02 19:10:00",573,0,13.6,78
"2026/02/02 19:15:00",573,0,13.6,78
"2026/02/02 19:20:00",582,0,13.5,78
"2026/02/02 19:25:00",594,0,13.4,79
"2026/02/02 19:30:00",588,0,13.4,79
"2026/02/02 19:35:00",589,0,13.3,79
"2026/02/02 19:40:00",583,0,13.4,79
"2026/02/02 19:45:00",589,0,13.3,79
"2026/02/02 19:50:00",583,0,13.2,79
"2026/02/02 19:55:00",581,0,13.1,79
"2026/02/02 20:00:00",587,0,13,79
"2026/02/02 20:05:00",588,0,12.9,79
"2026/02/02 20:10:00",582,0,12.9,79
"2026/02/02 20:15:00",574,0,12.8,79
"2026/02/02 20:20:00",585,0,12.9,79
"2026/02/02 20:25:00",586,0,12.7,79
"2026/02/02 20:30:00",583,0,12.7,79
"2026/02/02 20:35:00",584,0,12.7,80
"2026/02/02 20:40:00",588,0,12.5,80
"2026/02/02 20:45:00",595,0,12.6,80
"2026/02/02 20:50:00",611,0,12.5,81
"2026/02/02 20:55:00",607,0,12.4,81
"2026/02/02 21:00:00",606,0,12.3,81
"2026/02/02 21:05:00",616,0,12.3,81
"2026/02/02 21:10:00",607,0,12.3,81
"2026/02/02 21:15:00",602,0,12.2,81
"2026/02/02 21:20:00",614,0,12.2,80
"2026/02/02 21:25:00",622,0,12.1,80
"2026/02/02 21:30:00",628,0,11.9,80
"2026/02/02 21:35:00",633,0,12,80
"2026/02/02 21:40:00",638,0,12,80
"2026/02/02 21:45:00",630,0,11.8,80
