日時,"室内CO2濃度[ppm]","室内日射強度[kW m-2]","室内気温[C]","室内相対湿度[%]","積算日射[MJ]"
"2026/02/02 00:00:00",550,0,6.7,84,1.172
"2026/02/02 00:05:00",548,0,6.6,84,0
"2026/02/02 00:10:00",553,0,6.5,84,0
"2026/02/02 00:15:00",541,0,6.4,84,0
"2026/02/02 00:20:00",540,0,6.4,84,0
"2026/02/02 00:25:00",544,0,6.3,84,0
"2026/02/02 00:30:00",551,0,6.3,84,0
"2026/02/02 00:35:00",549,0,6.4,84,0
"2026/02/02 00:40:00",546,0,6.1,84,0
"2026/02/02 00:45:00",552,0,6.2,84,0
"2026/02/02 00:50:00",550,0,6.2,84,0
"2026/02/02 00:55:00",549,0,6,84,0
"2026/02/02 01:00:00",548,0,6.1,84,0
"2026/02/02 01:05:00",548,0,6,84,0
"2026/02/02 01:10:00",533,0,5.9,84,0
"2026/02/02 01:15:00",544,0,5.9,84,0
"2026/02/02 01:20:00",557,0,5.9,84,0
"2026/02/02 01:25:00",552,0,5.9,84,0
"2026/02/02 01:30:00",552,0,5.9,84,0
"2026/02/02 01:35:00",545,0,6.1,83,0
"2026/02/02 01:40:00",548,0,7.6,78,0
"2026/02/02 01:45:00",556,0,7.1,80,0
"2026/02/02 01:50:00",556,0,6.4,83,0
"2026/02/02 01:55:00",553,0,6.1,83,0
"2026/02/02 02:00:00",552,0,6.1,83,0
"2026/02/02 02:05:00",559,0,5.9,84,0
"2026/02/02 02:10:00",553,0,5.9,84,0
"2026/02/02 02:15:00",561,0,5.8,84,0
"2026/02/02 02:20:00",555,0,7.4,78,0
"2026/02/02 02:25:00",558,0,7.5,78,0
"2026/02/02 02:30:00",563,0,6.7,82,0
"2026/02/02 02:35:00",551,0,6.2,84,0
"2026/02/02 02:40:00",557,0,6.1,84,0
"2026/02/02 02:45:00",561,0,6.1,84,0
"2026/02/02 02:50:00",557,0,5.9,84,0
"2026/02/02 02:55:00",564,0,5.8,85,0
"2026/02/02 03:00:00",557,0,5.9,85,0
"2026/02/02 03:05:00",554,0,5.8,85,0
"2026/02/02 03:10:00",565,0,5.8,85,0
"2026/02/02 03:15:00",555,0,5.8,85,0
"2026/02/02 03:20:00",550,0,5.7,85,0
"2026/02/02 03:25:00",559,0,6.4,82,0
"2026/02/02 03:30:00",562,0,7.6,79,0
"2026/02/02 03:35:00",567,0,7,82,0
"2026/02/02 03:40:00",567,0,6.6,84,0
"2026/02/02 03:45:00",571,0,6.3,85,0
"2026/02/02 03:50:00",565,0,6.2,86,0
"2026/02/02 03:55:00",568,0,6.1,86,0
"2026/02/02 04:00:00",563,0,6.2,86,0
"2026/02/02 04:05:00",565,0,6.1,86,0
"2026/02/02 04:10:00",560,0,6.1,86,0
"2026/02/02 04:15:00",559,0,6,86,0
"2026/02/02 04:20:00",564,0,6,87,0
"2026/02/02 04:25:00",564,0,6.1,86,0
"2026/02/02 04:30:00",563,0,6.1,87,0
"2026/02/02 04:35:00",563,0,6.2,86,0
"2026/02/02 04:40:00",571,0,6.2,87,0
"2026/02/02 04:45:00",564,0,6.1,87,0
"2026/02/02 04:50:00",562,0,6.2,87,0
"2026/02/02 04:55:00",564,0,6.1,87,0
"2026/02/02 05:00:00",561,0,6,87,0
"2026/02/02 05:05:00",561,0,6.1,87,0
"2026/02/02 05:10:00",558,0,6,87,0
