2026/1/30,area1,1,20,17,18,5,1,2,7,12
2026/1/30,area2,2,26,22,18,12,0,3,14,3
2026/1/30,area3,3,31,16,13,7,2,1,8,5
2026/1/30,area4,4,22,16,20,11,2,4,17,7
2026/1/30,area5,5,26,15,19,11,0,1,11,6
2026/1/30,area2,1,18,20,11,17,2,11,2,3
2026/1/30,area2,2,24,22,22,16,5,13,7,7
2026/1/30,area2,3,27,17,10,10,2,4,6,2
2026/1/30,area2,4,23,11,19,9,5,7,7,6
2026/1/30,area2,5,28,19,12,6,0,6,3,0
2026/1/30,area3,1,28,13,12,6,0,6,6,8
2026/1/30,area3,2,25,23,16,5,1,8,10,9
2026/1/30,area3,3,20,16,15,7,0,4,4,3
2026/1/30,area3,4,24,16,11,2,1,2,8,4
2026/1/30,area3,5,21,19,9,8,1,2,9,3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
