Date,Area,No.,草高,第3葉柄長,葉数,蕾数,花数,肥大果数,緑果数,白熟果実数
1月26日,area1,1,18,11.3,11,5,2,3,4,1
1月26日,,2,18.5,12.5,18,8,2,7,2,3
1月26日,,3,20.1,13.5,18,3,1,11,4,5
1月26日,,4,19.5,11,19,9,3,7,3,6
1月26日,,5,21,12,12,2,2,5,3,6
1月26日,area2,1,16.5,11.5,10,5,3,0,6,3
1月26日,,2,15.3,11,11,6,1,6,2,5
1月26日,,3,24.2,10.5,15,11,3,5,5,2
1月26日,,4,16,11,15,5,1,3,3,2
1月26日,,5,18.3,11.8,18,5,3,5,5,6
1月26日,area3,1,25.4,15.2,21,4,5,3,3,8
1月26日,,2,22.1,14,16,8,5,7,7,6
1月26日,,3,13.6,13.6,18,11,1,2,9,6
1月26日,,4,22.8,14.1,23,18,7,4,11,8
1月26日,,5,23,13.8,20,11,3,1,8,6
