Date,Area,No.,草高,第3葉柄長,葉数,蕾数,花数,肥大果数,緑果数,白熟果実数
12月8日,area1,1,12.5,10,7.333333333,6,1,2,1,0
12月8日,,2,13.4,9.4,10,3,1,3,1,0
12月8日,,3,17.9,8.5,11.33333333,5,1,3,4,0
12月8日,,4,14.6,9,9.666666667,9,0,2,1,0
12月8日,,5,11.8,8.6,7.333333333,9,2,1,1,0
12月8日,area2,1,11,9.8,6.333333333,1,1,0,1,0
12月8日,,2,15,13.5,8.333333333,3,0,0,4,0
12月8日,,3,12,9,9.666666667,1,1,2,6,0
12月8日,,4,12.5,7.5,8.333333333,1,2,2,5,0
12月8日,,5,14,8.7,7.333333333,4,0,3,1,0
12月8日,area3,1,17.5,9,12.33333333,3,1,1,4,1
12月8日,,2,12,8,12.66666667,2,2,1,2,0
12月8日,,3,18.2,10.5,10.66666667,2,1,1,2,0
12月8日,,4,20,15.3,14,3,3,1,4,0
12月8日,,5,20,12,11,2,1,0,3,0
