日時,"室内CO2濃度[ppm]","室内日射強度[kW m-2]","室内気温[C]","室内相対湿度[%]","積算日射[MJ]"
"2025/12/21 15:20:00",449,0.01,25.6,45,0.005
"2025/12/21 15:25:00",440,0.01,25.9,44,0.008
"2025/12/21 15:30:00",449,0.01,25.9,44,0.012
"2025/12/21 15:35:00",446,0.01,25.9,45,0.015
"2025/12/21 15:40:00",443,0.01,25.5,46,0.018
"2025/12/21 15:45:00",449,0.01,25.3,46,0.021
"2025/12/21 15:50:00",438,0.01,25.5,46,0.024
"2025/12/21 15:55:00",438,0.01,25.1,47,0.027
"2025/12/21 16:00:00",450,0.01,25.3,47,0.03
"2025/12/21 16:05:00",446,0.01,25.2,47,0.033
"2025/12/21 16:10:00",452,0.01,25.7,46,0.036
"2025/12/21 16:15:00",473,0.01,26.6,44,0.039
"2025/12/21 16:20:00",438,0.01,26.3,44,0.042
"2025/12/21 16:25:00",440,0.01,26.2,45,0.045
"2025/12/21 16:30:00",432,0.01,25.9,45,0.048
"2025/12/21 16:35:00",423,0.01,25.4,46,0.051
"2025/12/21 16:40:00",425,0.01,25.5,46,0.053
"2025/12/21 16:45:00",433,0.01,24.3,49,0.056
"2025/12/21 16:50:00",439,0.01,23.9,50,0.059
"2025/12/21 16:55:00",,,,50,0.062
"2025/12/21 17:05:00",,0.01,25,,0.065
"2025/12/21 17:10:00",461,0.01,25.7,46,0.066
"2025/12/21 17:15:00",445,0.01,25.1,47,0.069
"2025/12/21 17:20:00",435,0.01,25,47,0.072
"2025/12/21 17:25:00",438,0.01,24.8,47,0.074
"2025/12/21 17:30:00",448,0.01,24.6,46,0.077
"2025/12/21 17:35:00",453,0.01,24.7,45,0.08
"2025/12/21 17:40:00",462,0.01,24.3,44,0.082
"2025/12/21 17:45:00",462,0.01,24.8,43,0.085
"2025/12/21 17:50:00",471,0.01,25.1,42,0.088
"2025/12/21 17:55:00",474,0.01,24.4,42,0.093
"2025/12/21 18:00:00",479,0.01,24.3,42,0.094
"2025/12/21 18:05:00",474,0.01,23.7,43,0.097
"2025/12/21 18:10:00",492,0.01,24,42,0.1
"2025/12/21 18:15:00",478,0.01,24.2,41,0.102
"2025/12/21 18:20:00",487,0.01,24.2,41,0.105
"2025/12/21 18:25:00",479,0.01,23.8,41,0.108
"2025/12/21 18:30:00",477,0.01,23.1,42,0.11
"2025/12/21 18:35:00",473,0.01,22.8,43,0.113
"2025/12/21 18:40:00",459,0.01,22.9,42,0.116
"2025/12/21 18:45:00",470,0.01,23.1,42,0.118
"2025/12/21 18:50:00",462,0.01,23,42,
"2025/12/21 19:00:00",462,0.01,22.8,43,
"2025/12/21 19:05:00",446,0.01,22.9,42,
