日時,"室内CO2濃度[ppm]","室内日射強度[kW m-2]","室内気温[C]","室内相対湿度[%]","積算日射[MJ]"
"2026/01/19 00:00:00",316,0,10.7,73,2.001
"2026/01/19 00:05:00",314,0,10.6,74,0
"2026/01/19 00:10:00",311,0,10.5,74,0
"2026/01/19 00:15:00",313,0,10.4,74,0
"2026/01/19 00:20:00",318,0,10.2,75,0
"2026/01/19 00:25:00",306,0,10.1,75,0
"2026/01/19 00:30:00",312,0,10.1,75,0
"2026/01/19 00:35:00",312,0,9.9,75,0
"2026/01/19 00:40:00",316,0,9.9,77,0
"2026/01/19 00:45:00",320,0,9.9,76,0
"2026/01/19 00:50:00",317,0,9.9,76,0
"2026/01/19 00:55:00",317,0,10,75,0
"2026/01/19 01:00:00",315,0,10,75,0
"2026/01/19 01:05:00",313,0,10,75,0
"2026/01/19 01:10:00",312,0,10,74,0
"2026/01/19 01:15:00",317,0,9.9,74,0
"2026/01/19 01:20:00",312,0,9.8,74,0
"2026/01/19 01:25:00",315,0,9.8,74,0
"2026/01/19 01:30:00",310,0,9.8,74,0
"2026/01/19 01:35:00",309,0,9.8,74,0
"2026/01/19 01:40:00",315,0,9.7,75,0
"2026/01/19 01:45:00",324,0,9.6,75,0
"2026/01/19 01:50:00",319,0,9.5,74,0
"2026/01/19 01:55:00",319,0,9.5,75,0
"2026/01/19 02:00:00",327,0,9.4,75,0
"2026/01/19 02:05:00",322,0,9.4,75,0
"2026/01/19 02:10:00",319,0,9.3,76,0
"2026/01/19 02:15:00",323,0,9.3,76,0
"2026/01/19 02:20:00",318,0,9.2,76,0
"2026/01/19 02:25:00",323,0,9.3,76,0
"2026/01/19 02:30:00",316,0,9.3,76,0
"2026/01/19 02:35:00",322,0,9.3,77,0
"2026/01/19 02:40:00",321,0,9.4,76,0
"2026/01/19 02:45:00",322,0,9.4,76,0
"2026/01/19 02:50:00",323,0,9.3,76,0
"2026/01/19 02:55:00",317,0,9.4,76,0
"2026/01/19 03:00:00",326,0,9.3,76,0
"2026/01/19 03:05:00",315,0,9.3,75,0
"2026/01/19 03:10:00",324,0,9.3,76,0
"2026/01/19 03:15:00",316,0,9.3,76,0
"2026/01/19 03:20:00",318,0,9.3,76,0
"2026/01/19 03:25:00",328,0,9.3,76,0
"2026/01/19 03:30:00",328,0,9.3,76,0
"2026/01/19 03:35:00",323,0,9.2,76,0
"2026/01/19 03:40:00",329,0,9.2,76,0
"2026/01/19 03:45:00",327,0,9.2,77,0
"2026/01/19 03:50:00",326,0,9.1,78,0
"2026/01/19 03:55:00",330,0,8.9,78,0
"2026/01/19 04:00:00",326,0,8.7,78,0
"2026/01/19 04:05:00",329,0,8.6,78,0
